Date,Open,High,Low,Close,Adj Close,Volume
10-05-2023,236.169998,236.75,230.720001,233.080002,232.832962,19119000
08-10-2020,259.75,264.619995,259.149994,263.76001,263.480438,16312800
07-12-2023,317.769989,328.23999,317.769989,326.589996,326.243835,15905100
21-12-2023,352.980011,356.410004,349.209991,354.089996,353.714691,15289600
30-12-2021,344.0,347.230011,343.220001,344.359985,343.994995,10593300
11-04-2024,521.109985,523.859985,517.289978,523.159973,523.159973,10369500
27-10-2023,294.480011,299.309998,292.970001,296.730011,296.415497,29596300
20-04-2022,213.610001,214.160004,198.919998,200.419998,200.207581,43036500
20-08-2020,261.5,269.630005,261.459991,269.01001,268.724884,20299700
14-09-2022,153.330002,153.539993,149.050003,151.470001,151.309464,43064200
01-02-2024,393.940002,400.5,393.049988,394.779999,394.361572,29727100
24-08-2020,271.070007,277.25,268.769989,271.390015,271.102356,23685600
19-10-2022,132.889999,137.0,132.220001,133.229996,133.088791,30691000
07-02-2024,458.0,471.519989,456.179993,469.589996,469.092285,23066000
10-08-2020,268.040009,273.859985,259.690002,263.0,262.721252,30248800
24-02-2023,168.639999,170.720001,167.660004,170.389999,170.209412,19791300
12-01-2024,370.160004,377.059998,369.540009,374.48999,374.093079,19295700
28-06-2023,284.820007,289.549988,284.059998,285.290009,284.98764,16722100
11-06-2020,229.940002,232.889999,223.550003,224.429993,224.192123,26708200
23-11-2020,270.890015,270.950012,264.529999,268.429993,268.145477,20990800
07-03-2023,189.0,190.360001,184.009995,184.509995,184.314438,36701500
01-06-2020,224.589996,232.440002,223.5,231.910004,231.6642,18223800
02-09-2021,381.5,381.75,374.059998,375.279999,374.882233,14832900
31-08-2021,379.950012,382.76001,378.799988,379.380005,378.977905,12345400
16-11-2023,329.369995,334.579987,326.380005,334.190002,333.835785,18932600
29-04-2022,204.460007,212.479996,199.899994,200.470001,200.257523,49193400
08-08-2023,314.399994,317.890015,310.109985,312.640015,312.308655,15183500
01-09-2022,163.580002,167.360001,160.350006,165.360001,165.184738,30145700
23-06-2020,241.279999,245.190002,239.860001,242.240005,241.983261,24017900
19-03-2020,146.619995,159.929993,144.800003,153.130005,152.967697,39862300
07-08-2020,264.079987,278.890015,263.429993,268.440002,268.155487,72766400
09-08-2021,363.76001,365.779999,360.75,361.609985,361.226715,7798900
19-04-2024,502.799988,502.799988,475.730011,481.070007,481.070007,25111000
27-10-2020,278.76001,284.51001,276.309998,283.290009,282.989746,16287200
12-08-2022,180.809998,181.460007,178.910004,180.5,180.308685,21274000
20-11-2023,334.890015,341.869995,334.190002,339.970001,339.60968,16960500
11-07-2023,293.899994,300.179993,291.899994,298.290009,297.973846,27585900
14-01-2020,221.610001,222.380005,218.630005,219.059998,218.82782,13288900
19-09-2023,302.480011,306.170013,299.809998,305.070007,304.746674,15924400
25-02-2020,202.25,203.5,195.949997,196.770004,196.561447,21433500
18-10-2021,328.950012,335.890015,327.5,335.339996,334.984558,21585000
03-08-2022,162.690002,169.539993,161.570007,168.800003,168.621094,31721900
04-01-2021,274.779999,275.0,265.200012,268.940002,268.654968,15106100
17-03-2021,275.709991,286.230011,275.410004,284.01001,283.708984,21315000
13-06-2023,274.880005,275.720001,269.089996,271.320007,271.03244,16164000
07-04-2022,223.929993,225.520004,218.559998,222.949997,222.713699,21037200
23-06-2022,156.270004,159.75,154.25,158.75,158.581741,40499200
11-04-2023,215.479996,216.020004,213.410004,213.850006,213.623352,16710100
17-05-2023,238.449997,243.839996,238.139999,242.490005,242.232986,21193100
13-04-2023,215.729996,221.149994,215.690002,220.350006,220.116455,23310400
15-01-2021,247.899994,253.860001,247.160004,251.360001,251.093582,24942900
